#TYPE System.Management.Automation.PSCustomObject
"adminConsentDescription","adminConsentDisplayName","id","isEnabled","type","userConsentDescription","userConsentDisplayName","value"
"Allows the app to deliver its notifications on behalf of signed-in users. Also allows the app to read, update, and delete the user's notification items for this app.","Deliver and manage user notifications for this app","89497502-6e42-46a2-8cb2-427fd3df970a","True","User","Allows the app to deliver its notifications, on your behalf. Also allows the app to read, update, and delete your notification items for this app.","Deliver and manage your notifications for this app","Notifications.ReadWrite.CreatedByApp"
"Allows the app to read and write your organization's conditional access policies on behalf of the signed-in user.","Read and write your organization's conditional access policies","ad902697-1014-4ef5-81ef-2b4301988e8c","True","Admin","Allows the app to read and write your organization's conditional access policies on your behalf.","Read and write your organization's conditional access policies","Policy.ReadWrite.ConditionalAccess"
"Allows the app to read your organization's policies on behalf of the signed-in user.","Read your organization's policies","572fea84-0151-49b2-9301-11cb16974376","True","Admin","Allows the app to read your organization's policies on your behalf.","Read your organization's policies","Policy.Read.All"
"Allows the app to read access reviews, reviewers, decisions and settings that the signed-in user has access to in the organization.","Read all access reviews that user can access","ebfcd32b-babb-40f4-a14b-42706e83bd28","True","Admin","Allows the app to read information on access reviews, reviewers, decisions and settings that you have access to.","Read access reviews that you can access","AccessReview.Read.All"
"Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings that the signed-in user has access to in the organization.","Manage all access reviews that user can access","e4aa47b9-9a69-4109-82ed-36ec70d85ff1","True","Admin","Allows the app to read, update and perform action on access reviews, reviewers, decisions and settings that you have access to.","Manage access reviews that you can access","AccessReview.ReadWrite.All"
"Allows the app to read programs and program controls that the signed-in user has access to in the organization.","Read all programs that user can access","c492a2e1-2f8f-4caa-b076-99bbf6e40fe4","True","Admin","Allows the app to read information on programs and program controls that you have access to.","Read programs that you can access","ProgramControl.Read.All"
"Allows the app to read, update, delete and perform actions on programs and program controls that the signed-in user has access to in the organization.","Manage all programs that user can access","50fd364f-9d93-4ae1-b170-300e87cccf84","True","Admin","Allows the app to read, update and perform action on programs and program controls that you have access to.","Manage programs that you can access","ProgramControl.ReadWrite.All"
"Allows the app to create, read, update, and delete apps in the app catalogs.","Read and write to all app catalogs","1ca167d5-1655-44a1-8adf-1414072e1ef9","True","Admin","Allows the app to create, read, update, and delete apps in the app catalogs.","Read and write to all app catalogs","AppCatalog.ReadWrite.All"
"Allows the app to request and manage just in time elevation (including scheduled elevation) of users to Azure AD built-in administrative roles, on behalf of signed-in users.","Read and write privileged access to Azure AD","3c3c74f5-cdaa-4a97-b7e0-4e788bfcfb37","True","Admin","Allows the app to request and manage just in time elevation (including scheduled elevation) of users to Azure AD built-in administrative roles, on your behalf.","Read and write privileged access to Azure AD","PrivilegedAccess.ReadWrite.AzureAD"
"Allows the app to read terms of use agreements on behalf of the signed-in user.","Read all terms of use agreements","af2819c9-df71-4dd3-ade7-4d7c9dc653b7","True","Admin","Allows the app to read terms of use agreements on your behalf.","Read all terms of use agreements","Agreement.Read.All"
"Allows the app to read and write terms of use agreements on behalf of the signed-in user.","Read and write all terms of use agreements","ef4b5d93-3104-4664-9053-a5c49ab44218","True","Admin","Allows the app to read and write terms of use agreements on your behalf.","Read and write all terms of use agreements","Agreement.ReadWrite.All"
"Allows the app to read terms of use acceptance statuses on behalf of the signed-in user.","Read user terms of use acceptance statuses","0b7643bb-5336-476f-80b5-18fbfbc91806","True","Admin","Allows the app to read your terms of use acceptance statuses.","Read your terms of use acceptance statuses","AgreementAcceptance.Read"
"Allows the app to read terms of use acceptance statuses on behalf of the signed-in user.","Read terms of use acceptance statuses that user can access","a66a5341-e66e-4897-9d52-c2df58c2bfb9","True","Admin","Allows the app to read terms of use acceptance statuses on your behalf.","Read all terms of use acceptance statuses","AgreementAcceptance.Read.All"
"Allows the app to read and query your audit log activities, on behalf of the signed-in user.","Read audit log data","e4c9e354-4dc5-45b8-9e7c-e1393b0b1a20","True","Admin","Allows the app to read and query your audit log activities, on your behalf.","Read audit log data","AuditLog.Read.All"
"Allows the app to read and report the signed-in user's activity in the app.","Read and write app activity to users' activity feed","47607519-5fb1-47d9-99c7-da4b48f369b1","True","User","Allows the app to read and report your activity in the app.","Read and write app activity to your activity feed","UserActivity.ReadWrite.CreatedByApp"
"Allows the app to read properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups.","Read Microsoft Intune Device Configuration and Policies","f1493658-876a-4c87-8fa7-edb559b3476a","True","Admin","Allows the app to read properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups.","Read Microsoft Intune Device Configuration and Policies","DeviceManagementConfiguration.Read.All"
"Allows the app to read and write properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups.","Read and write Microsoft Intune Device Configuration and Policies","0883f392-0a7a-443d-8c76-16a6d39c7b63","True","Admin","Allows the app to read and write properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups.","Read and write Microsoft Intune Device Configuration and Policies","DeviceManagementConfiguration.ReadWrite.All"
"Allows the app to read the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune.","Read Microsoft Intune apps","4edf5f54-4666-44af-9de9-0144fb4b6e8c","True","Admin","Allows the app to read the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune.","Read Microsoft Intune apps","DeviceManagementApps.Read.All"
"Allows the app to read and write the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune.","Read and write Microsoft Intune apps","7b3f05d5-f68c-4b8d-8c59-a2ecd12f24af","True","Admin","Allows the app to read and write the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune.","Read and write Microsoft Intune apps","DeviceManagementApps.ReadWrite.All"
"Allows the app to read the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings.","Read Microsoft Intune RBAC settings","49f0cc30-024c-4dfd-ab3e-82e137ee5431","True","Admin","Allows the app to read the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings.","Read Microsoft Intune RBAC settings","DeviceManagementRBAC.Read.All"
"Allows the app to read and write the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings.","Read and write Microsoft Intune RBAC settings","0c5e8a55-87a6-4556-93ab-adc52c4d862d","True","Admin","Allows the app to read and write the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings.","Read and write Microsoft Intune RBAC settings","DeviceManagementRBAC.ReadWrite.All"
"Allows the app to read the properties of devices managed by Microsoft Intune.","Read Microsoft Intune devices","314874da-47d6-4978-88dc-cf0d37f0bb82","True","Admin","Allows the app to read the properties of devices managed by Microsoft Intune.","Read devices Microsoft Intune devices","DeviceManagementManagedDevices.Read.All"
"Allows the app to read and write the properties of devices managed by Microsoft Intune. Does not allow high impact operations such as remote wipe and password reset on the device?s owner.","Read and write Microsoft Intune devices","44642bfe-8385-4adc-8fc6-fe3cb2c375c3","True","Admin","Allows the app to read and write the properties of devices managed by Microsoft Intune. Does not allow high impact operations such as remote wipe and password reset on the device?s owner.","Read and write Microsoft Intune devices","DeviceManagementManagedDevices.ReadWrite.All"
"Allows the app to perform remote high impact actions such as wiping the device or resetting the passcode on devices managed by Microsoft Intune.","Perform user-impacting remote actions on Microsoft Intune devices","3404d2bf-2b13-457e-a330-c24615765193","True","Admin","Allows the app to perform remote high impact actions such as wiping the device or resetting the passcode on devices managed by Microsoft Intune.","Perform user-impacting remote actions on Microsoft Intune devices","DeviceManagementManagedDevices.PrivilegedOperations.All"
"Allows the app to read and write Microsoft Intune service properties including device enrollment and third party service connection configuration.","Read and write Microsoft Intune configuration","662ed50a-ac44-4eef-ad86-62eed9be2a29","True","Admin","Allows the app to read and write Microsoft Intune service properties including device enrollment and third party service connection configuration.","Read and write Microsoft Intune configuration","DeviceManagementServiceConfig.ReadWrite.All"
"Allows the app to read Microsoft Intune service properties including device enrollment and third party service connection configuration.","Read Microsoft Intune configuration","8696daa5-bce5-4b2e-83f9-51b6defc4e1e","True","Admin","Allows the app to read Microsoft Intune service properties including device enrollment and third party service connection configuration.","Read Microsoft Intune configuration","DeviceManagementServiceConfig.Read.All"
"Allows the app to read your organization?s security events on behalf of the signed-in user.","Read your organization?s security events","64733abd-851e-478a-bffb-e47a14b18235","True","Admin","Allows the app to read your organization?s security events on your behalf.","Read your organization?s security events","SecurityEvents.Read.All"
"Allows the app to read your organization?s security events on behalf of the signed-in user. Also allows the app to update editable properties in security events on behalf of the signed-in user.","Read and update your organization?s security events","6aedf524-7e1c-45a7-bd76-ded8cab8d0fc","True","Admin","Allows the app to read your organization?s security events on your behalf. Also allows you to update editable properties in security events.","Read and update your organization?s security events","SecurityEvents.ReadWrite.All"
"Allows the app to read a scored list of relevant people of the signed-in user or other users in the signed-in user's organization. The list can include local contacts, contacts from social networking, your organization's directory, and people from recent communications (such as email and Skype).","Read all users' relevant people lists","b89f9189-71a5-4e70-b041-9887f0bc7e4a","True","Admin","Allows the app to read a list of people in the order that is most relevant to you. Allows the app to read a list of people in the order that is most relevant to another user in your organization. These can include local contacts, contacts from social networking, people listed in your organization?s directory, and people from recent communications.","Read all users? relevant people lists","People.Read.All"
"Manage the state and settings of all Microsoft education apps on behalf of the user.","Manage education app settings","63589852-04e3-46b4-bae9-15d5b1050748","True","Admin","Allows the app to manage the state and settings of all Microsoft education apps on your behalf.","Manage your education app settings","EduAdministration.ReadWrite"
"Read the state and settings of all Microsoft education apps on behalf of the user.","Read education app settings","8523895c-6081-45bf-8a5d-f062a2f12c9f","True","Admin","Allows the app to view the state and settings of all Microsoft education apps on your behalf.","View your education app settings","EduAdministration.Read"
"Allows the app to read and write assignments and their grades on behalf of the user.","Read and write users' class assignments and their grades","2f233e90-164b-4501-8bce-31af2559a2d3","True","Admin","Allows the app to view and modify your assignments on your behalf including ?grades.","View and modify your assignments and grades","EduAssignments.ReadWrite"
"Allows the app to read assignments and their grades on behalf of the user.","Read users' class assignments and their grades","091460c9-9c4a-49b2-81ef-1f3d852acce2","True","Admin","Allows the app to view your assignments on your behalf including grades.","View your assignments and grades","EduAssignments.Read"
"Allows the app to read and write assignments without grades on behalf of the user.","Read and write users' class assignments without grades","2ef770a1-622a-47c4-93ee-28d6adbed3a0","True","Admin","Allows the app to view and modify your assignments on your behalf without seeing grades.","View and modify your assignments without grades","EduAssignments.ReadWriteBasic"
"Allows the app to read assignments without grades on behalf of the user.","Read users' class assignments without grades","c0b0103b-c053-4b2e-9973-9f3a544ec9b8","True","Admin","Allows the app to view your assignments on your behalf without seeing grades.","View your assignments without grades","EduAssignments.ReadBasic"
"Allows the app to read and write the structure of schools and classes in an organization's roster and education-specific information about users to be read and written on behalf of the user.","Read and write users' view of the roster","359e19a6-e3fa-4d7f-bcab-d28ec592b51e","True","Admin","Allows the app to view and modify information about schools and classes in your organization and education-related information about you and other users on your behalf.","View and modify your school, class and user information","EduRoster.ReadWrite"
"Allows the app to read the structure of schools and classes in an organization's roster and education-specific information about users to be read on behalf of the user.","Read users' view of the roster","a4389601-22d9-4096-ac18-36a927199112","True","Admin","Allows the app to view information about schools and classes in your organization and education-related information about you and other users on your behalf.","View your school, class and user information","EduRoster.Read"
"Allows the app to read a limited subset of the properties from the structure of schools and classes in an organization's roster and a limited subset of properties about users to be read on behalf of the user.?Includes name, status, education role, email address and photo.","Read a limited subset of users' view of the roster","5d186531-d1bf-4f07-8cea-7c42119e1bd9","True","Admin","Allows the app to view minimal ?information about both schools and classes in your organization and education-related information about you and other users on your behalf.","View a limited subset of your school, class and user information","EduRoster.ReadBasic"
"Allows the app to report the signed-in user's app activity information to Microsoft Timeline.","Write app activity to users' timeline","367492fc-594d-4972-a9b5-0d58c622c91c","True","User","Allows the app to report your app activity information to Microsoft Timeline.","Write app activity to your timeline","UserTimelineActivity.Write.CreatedByApp"
"Allows the app to create, read, update, and delete user's mailbox settings. Does not include permission to send mail.","Read and write user mailbox settings","818c620a-27a9-40bd-a6a5-d96f7d610b4b","True","User","Allows the app to read, update, create, and delete your mailbox settings.","Read and write to your mailbox settings","MailboxSettings.ReadWrite"
"Allows the app to launch another app or communicate with another app on a user's device on behalf of the signed-in user.","Communicate with user devices","bac3b9c2-b516-4ef4-bd3b-c2ef73d8d804","True","User","Allows the app to launch another app or communicate with another app on a device that you own.","Communicate with your other devices","Device.Command"
"Allows the app to read a user's list of devices on behalf of the signed-in user.","Read user devices","11d4cd79-5ba5-460f-803f-e22c8ab85ccd","True","User","Allows the app to see your list of devices.","View your list of devices","Device.Read"
"Allows the app to read, share, and modify OneNote notebooks that the signed-in user has access to in the organization.","Read and write all OneNote notebooks that user can access","64ac0503-b4fa-45d9-b544-71a463f05da0","True","User","Allows the app to read, share, and modify all the OneNote notebooks that you have access to.","Read and write all OneNote notebooks that you can access","Notes.ReadWrite.All"
"Allows the app to read OneNote notebooks that the signed-in user has access to in the organization.","Read all OneNote notebooks that user can access","dfabfca6-ee36-4db2-8208-7a28381419b3","True","User","Allows the app to read all the OneNote notebooks that you have access to.","Read all OneNote notebooks that you can access","Notes.Read.All"
"Allows the app to read, share, and modify OneNote notebooks on behalf of the signed-in user.","Read and write user OneNote notebooks","615e26af-c38a-4150-ae3e-c3b0d4cb1d6a","True","User","Allows the app to read, share, and modify OneNote notebooks on your behalf.","Read and write your OneNote notebooks","Notes.ReadWrite"
"Allows the app to read OneNote notebooks on behalf of the signed-in user.","Read user OneNote notebooks","371361e4-b9e2-4a3f-8315-2a301a3b0a3d","True","User","Allows the app to read OneNote notebooks on your behalf.","Read your OneNote notebooks","Notes.Read"
"This is deprecated!  Do not use! This permission no longer has any effect. You can safely consent to it. No additional privileges will be granted to the app.","Limited notebook access (deprecated)","ed68249d-017c-4df5-9113-e684c7f8760b","True","User","This permission no longer has any effect. You can safely consent to it. No additional privileges will be granted to the app.","Limited access to your OneNote notebooks for this app (preview)","Notes.ReadWrite.CreatedByApp"
"Allows the app to read the titles of OneNote notebooks and sections and to create new pages, notebooks, and sections on behalf of the signed-in user.","Create user OneNote notebooks","9d822255-d64d-4b7a-afdb-833b9a97ed02","True","User","Allows the app to view the titles of your OneNote notebooks and sections and to create new pages, notebooks, and sections on your behalf.","Create your OneNote notebooks","Notes.Create"
"Allows the app to invite guest users to the organization, on behalf of the signed-in user.","Invite guest users to the organization","63dd7cd9-b489-4adf-a28c-ac38b9a0f962","True","Admin","Allows the app to invite guest users to the organization, on your behalf.","Invite guest users to the organization","User.Invite.All"
"Allows the app to the read user's mailbox settings. Does not include permission to send mail.","Read user mailbox settings","87f447af-9fa4-4c32-9dfa-4a57a73d18ce","True","User","Allows the app to read your mailbox settings.","Read your mailbox settings","MailboxSettings.Read"
"(Preview) Allows the app to read files that the user selects. The app has access for several hours after the user selects a file.","Read files that the user selects (preview)","5447fe39-cb82-4c1a-b977-520e67e724eb","True","User","(Preview) Allows the app to read files that you select. After you select a file, the app has access to the file for several hours.","Read selected files","Files.Read.Selected"
"(Preview) Allows the app to read and write files that the user selects. The app has access for several hours after the user selects a file.","Read and write files that the user selects (preview)","17dde5bd-8c17-420f-a486-969730c1b827","True","User","(Preview) Allows the app to read and write files that you select. After you select a file, the app has access to the file for several hours.","Read and write selected files","Files.ReadWrite.Selected"
"(Preview) Allows the app to read, create, update and delete files in the application's folder.","Have full access to the application's folder (preview)","8019c312-3263-48e6-825e-2b833497195b","True","User","(Preview) Allows the app to read, create, update and delete files in the application's folder.","Have full access to the application's folder","Files.ReadWrite.AppFolder"
"Allows an app to read all service usage reports on behalf of the signed-in user.  Services that provide usage reports include Office 365 and Azure Active Directory.","Read all usage reports","02e97553-ed7b-43d0-ab3c-f8bace0d040c","True","Admin","Allows an app to read all service usage reports on your behalf. Services that provide usage reports include Office 365 and Azure Active Directory.","Read all usage reports","Reports.Read.All"
"Allows the application to edit or delete documents and list items in all site collections on behalf of the signed-in user.","Edit or delete items in all site collections","89fe6a52-be36-487e-b7d8-d061c450a026","True","User","Allow the application to edit or delete documents and list items in all site collections on your behalf.","Edit or delete items in all site collections","Sites.ReadWrite.All"
"Allows the app to create, read, update, and delete tasks a user has permissions to, including their own and shared tasks.","Read and write user and shared tasks","c5ddf11b-c114-4886-8558-8a4e557cd52b","True","User","Allows the app to read, update, create, and delete tasks you have permissions to access, including your own and shared tasks.","Read and write to your and shared tasks","Tasks.ReadWrite.Shared"
"Allows the app to read tasks a user has permissions to access, including their own and shared tasks.","Read user and shared tasks","88d21fd4-8e5a-4c32-b5e2-4a1c95f34f72","True","User","Allows the app to read tasks you have permissions to access, including your own and shared tasks.","Read your and shared tasks","Tasks.Read.Shared"
"Allows the app to create, read, update, and delete contacts a user has permissions to, including their own and shared contacts.","Read and write user and shared contacts","afb6c84b-06be-49af-80bb-8f3f77004eab","True","User","Allows the app to read, update, create, and delete contacts you have permissions to access, including your own and shared contacts.","Read and write to your and shared contacts","Contacts.ReadWrite.Shared"
"Allows the app to read contacts a user has permissions to access, including their own and shared contacts.","Read user and shared contacts","242b9d9e-ed24-4d09-9a52-f43769beb9d4","True","User","Allows the app to read contacts you have permissions to access, including your own and shared contacts.","Read your and shared contacts","Contacts.Read.Shared"
"Allows the app to create, read, update and delete events in all calendars in the organization user has permissions to access. This includes delegate and shared calendars.","Read and write user and shared calendars","12466101-c9b8-439a-8589-dd09ee67e8e9","True","User","Allows the app to read, update, create and delete events in all calendars in your organization you have permissions to access. This includes delegate and shared calendars.","Read and write to your and shared calendars","Calendars.ReadWrite.Shared"
"Allows the app to read events in all calendars that the user can access, including delegate and shared calendars.","Read user and shared calendars","2b9c4092-424d-4249-948d-b43879977640","True","User","Allows the app to read events in all calendars that you can access, including delegate and shared calendars.?","Read calendars?you can access","Calendars.Read.Shared"
"Allows the app to send mail as the signed-in user, including sending on-behalf of others.","Send mail on behalf of others","a367ab51-6b49-43bf-a716-a1fb06d2a174","True","User","Allows the app to send mail as you or on-behalf of someone else.","Send mail on behalf of others or yourself","Mail.Send.Shared"
"Allows the app to create, read, update, and delete mail a user has permission to access, including their own and shared mail. Does not include permission to send mail.","Read and write user and shared mail","5df07973-7d5d-46ed-9847-1271055cbd51","True","User","Allows the app to read, update, create, and delete mail you have permission to access, including your own and shared mail. Does not allow the app to send mail on your behalf.","Read and write mail?you can access","Mail.ReadWrite.Shared"
"Allows the app to read mail a user can access, including their own and shared mail.","Read user and shared mail","7b9103a5-4610-446b-9670-80643382c1fa","True","User","Allows the app to read mail you can access, including shared mail.","Read mail you can access","Mail.Read.Shared"
"Allows users to sign-in to the app, and allows the app to read the profile of signed-in users. It also allows the app to read basic company information of signed-in users.","Sign in and read user profile","e1fe6dd8-ba31-4d61-89e7-88639da4683d","True","User","Allows you to sign in to the app with your organizational account and let the app read your profile. It also allows the app to read basic company information.","Sign you in and read your profile","User.Read"
"Allows the app to read your profile. It also allows the app to update your profile information on your behalf.","Read and write access to user profile","b4e74841-8e56-480b-be8b-910348b18b4c","True","User","Allows the app to read your profile, and discover your group membership, reports and manager. It also allows the app to update your profile information on your behalf.","Read and update your profile","User.ReadWrite"
"Allows the app to read a basic set of profile properties of other users in your organization on behalf of the signed-in user. This includes display name, first and last name, email address and photo.","Read all users' basic profiles","b340eb25-3456-403f-be2f-af7a0d370277","True","User","Allows the app to read a basic set of profile properties of other users in your organization on your behalf. Includes display name, first and last name, email address and photo.","Read all users' basic profiles","User.ReadBasic.All"
"Allows the app to read the full set of profile properties, reports, and managers of other users in your organization, on behalf of the signed-in user.","Read all users' full profiles","a154be20-db9c-4678-8ab7-66f6cc099a59","True","Admin","Allows the app to read the full set of profile properties, reports, and managers of other users in your organization, on your behalf.","Read all users' full profiles","User.Read.All"
"Allows the app to read and write the full set of profile properties, reports, and managers of other users in your organization, on behalf of the signed-in user.","Read and write all users' full profiles","204e0828-b5ca-4ad8-b9f3-f32a958e7cc4","True","Admin","Allows the app to read and write the full set of profile properties, reports, and managers of other users in your organization, on your behalf.","Read and write all users' full profiles","User.ReadWrite.All"
"Allows the app to list groups, and to read their properties and all group memberships on behalf of the signed-in user.  Also allows the app to read calendar, conversations, files, and other group content for all groups the signed-in user can access. ","Read all groups","5f8c59db-677d-491f-a6b8-5f174b11ec1d","True","Admin","Allows the app to list groups, and to read their properties and all group memberships on your behalf.  Also allows the app to read calendar, conversations, files, and other group content for all groups you can access.  ","Read all groups","Group.Read.All"
"Allows the app to create groups and read all group properties and memberships on behalf of the signed-in user.  Additionally allows group owners to manage their groups and allows group members to update group content.","Read and write all groups","4e46008b-f24c-477d-8fff-7bb4ec7aafe0","True","Admin","Allows the app to create groups and read all group properties and memberships on your behalf.  Additionally allows the app to manage your groups and to update group content for groups you are a member of.","Read and write all groups","Group.ReadWrite.All"
"Allows the app to read data in your organization's directory, such as users, groups and apps.","Read directory data","06da0dbc-49e2-44d2-8312-53f166ab848a","True","Admin","Allows the app to read data in your organization's directory.","Read directory data","Directory.Read.All"
"Allows the app to read and write data in your organization's directory, such as users, and groups.  It does not allow the app to delete users or groups, or reset user passwords.","Read and write directory data","c5366453-9fb0-48a5-a156-24f0c49a4b84","True","Admin","Allows the app to read and write data in your organization's directory, such as other users, groups.  It does not allow the app to delete users or groups, or reset user passwords.","Read and write directory data","Directory.ReadWrite.All"
"Allows the app to have the same access to information in the directory as the signed-in user.","Access directory as the signed in user","0e263e50-5827-48a4-b97c-d940288653c7","True","Admin","Allows the app to have the same access to information in your work or school directory as you do.","Access the directory as you","Directory.AccessAsUser.All"
"Allows the app to create, read, update, and delete email in user mailboxes. Does not include permission to send mail. ","Read and write access to user mail ","024d486e-b451-40bb-833d-3e66d98c5c73","True","User","Allows the app to read, update, create and delete email in your mailbox. Does not include permission to send mail. ","Read and write access to your mail ","Mail.ReadWrite"
"Allows the app to send mail as users in the organization. ","Send mail as a user ","e383f46e-2787-4529-855e-0e479a3ffac0","True","User","Allows the app to send mail as you. ","Send mail as you ","Mail.Send"
"Allows the app to read events in user calendars . ","Read user calendars ","465a38f9-76ea-45b9-9f34-9e8b0d4b0b42","True","User","Allows the app to read events in your calendars. ","Read your calendars ","Calendars.Read"
"Allows the app to create, read, update, and delete events in user calendars. ","Have full access to user calendars ","1ec239c2-d7c9-4623-a91a-a9775856bb36","True","User","Allows the app to read, update, create and delete events in your calendars. ","Have full access to your calendars  ","Calendars.ReadWrite"
"Allows the app to read user contacts.  ","Read user contacts ","ff74d97f-43af-4b68-9f2a-b77ee6968c5d","True","User","Allows the app to read contacts in your contact folders. ","Read your contacts ","Contacts.Read"
"Allows the app to create, read, update, and delete user contacts. ","Have full access to user contacts ","d56682ec-c09e-4743-aaf4-1a3aac4caa21","True","User","Allows the app to read, update, create and delete contacts in your contact folders. ","Have full access of your contacts ","Contacts.ReadWrite"
"Allows the app to read the signed-in user's files.","Read user files","10465720-29dd-4523-a11a-6a75c743c9d9","True","User","Allows the app to read your files.","Read your files","Files.Read"
"Allows the app to read, create, update and delete the signed-in user's files.","Have full access to user files","5c28f0bf-8a70-41f1-8ab2-9032436ddb65","True","User","Allows the app to read, create, update, and delete your files.","Have full access to your files","Files.ReadWrite"
"Allows the app to read all files the signed-in user can access.","Read all files that user can access","df85f4d6-205c-4ac5-a5ea-6bf408dba283","True","User","Allows the app to read all files you can access.","Read all files that you have access to","Files.Read.All"
"Allows the app to read, create, update and delete all files the signed-in user can access.","Have full access to all files user can access","863451e7-0667-486c-a5d6-d135439485f0","True","User","Allows the app to read, create, update and delete all files that you can access.","Have full access to all files you have access to","Files.ReadWrite.All"
"Allows the application to read documents and list  items in all site collections on behalf of the signed-in user","Read items in all site collections","205e70e5-aba6-4c52-a976-6d2d46c48043","True","User","Allow the application to read documents and list items in all site collections on your behalf","Read items in all site collections","Sites.Read.All"
"Allows users to sign in to the app with their work or school accounts and allows the app to see basic user profile information.","Sign users in","37f7f235-527c-4136-accd-4a02d197296e","True","User","Allows you to sign in to the app with your work or school account and allows the app to read your basic profile information.","Sign in as you","openid"
"Allows the app to read your users' primary email address","View users' email address","64a6cdd6-aab1-4aaf-94b8-3cc8405e90d0","True","User","Allows the app to read your primary email address","View your email address","email"
"Allows the app to read identity risk event information for all users in your organization on behalf of the signed-in user. ","Read identity risk event information","8f6a01e7-0391-4ee5-aa22-a3af122cef27","True","Admin","Allows the app to read identity risk event information for all users in your organization on behalf of the signed-in user. ","Read identity risk event information","IdentityRiskEvent.Read.All"
"Allows the app to read the memberships of hidden groups and administrative units on behalf of the signed-in user, for those hidden groups and administrative units that the signed-in user has access to.","Read hidden memberships","f6a3db3e-f7e8-4ed2-a414-557c8c9830be","True","Admin","Allows the app to read the memberships of hidden groups or administrative units on your behalf, for those hidden groups or adminstrative units that you have access to.","Read your hidden memberships","Member.Read.Hidden"
"Allows the app to read a ranked list of relevant people of the signed-in user. The list includes local contacts, contacts from social networking, your organization's directory, and people from recent communications (such as email and Skype).","Read users' relevant people lists","ba47897c-39ec-4d83-8086-ee8256fa737d","True","User","Allows the app to read a list of people in the order that's most relevant to you. This includes your local contacts, your contacts from social networking, people listed in your organization's directory, and people from recent communications.","Read your relevant people list","People.Read"
"Allows the application to create or delete document libraries and lists in all site collections on behalf of the signed-in user.","Create, edit, and delete items and lists in all site collections","65e50fdc-43b7-4915-933e-e8138f11f40a","True","User","Allow the application to create or delete document libraries and lists in all site collections on your behalf.","Create, edit, and delete items and lists in all your site collections","Sites.Manage.All"
"Allows the application to have full control of all site collections on behalf of the signed-in user.","Have full control of all site collections","5a54b8b3-347c-476d-8f8e-42d5c7424d29","True","Admin","Allow the application to have full control of all site collections on your behalf.","Have full control of all your site collections","Sites.FullControl.All"
"Allows the app to read and write your organization?s identity (authentication) providers? properties on behalf of the user.","Read and write identity providers","f13ce604-1677-429f-90bd-8a10b9f01325","True","Admin","Allows the app to read and write your organization?s identity (authentication) providers? properties on your behalf.","Read and write identity providers","IdentityProvider.ReadWrite.All"
"Allows the app to read your organization?s identity (authentication) providers? properties on behalf of the user.","Read identity providers","43781733-b5a7-4d1b-98f4-e8edff23e1a9","True","Admin","Allows the app to read your organization?s identity (authentication) providers? properties on your behalf.","Read identity providers","IdentityProvider.Read.All"
"Allows an app to read bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user.","Read bookings information","33b1df99-4b29-4548-9339-7a7b83eaeebc","True","User","Allows an app to read bookings appointments, businesses, customers, services, and staff on your behalf.","Read bookings information","Bookings.Read.All"
"Allows an app to read and write bookings appointments and customers, and additionally allows read businesses information, services, and staff on behalf of the signed-in user.","Read and write booking appointments","02a5a114-36a6-46ff-a102-954d89d9ab02","True","User","Allows an app to read and write bookings appointments and customers, and additionally allows read businesses information, services, and staff on your behalf.","Read and write booking appointments","BookingsAppointment.ReadWrite.All"
"Allows an app to read and write bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user. Does not allow create, delete and publish of booking businesses.","Read and write bookings information","948eb538-f19d-4ec5-9ccc-f059e1ea4c72","True","User","Allows an app to read and write Bookings appointments, businesses, customers, services, and staff on your behalf. Does not allow create, delete and publish of booking businesses.","Read and write bookings information","Bookings.ReadWrite.All"
"Allows an app to read, write and manage bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user.","Manage bookings information","7f36b48e-542f-4d3b-9bcb-8406f0ab9fdb","True","User","Allows an app to read, write and manage bookings appointments, businesses, customers, services, and staff on your behalf.","Manage bookings information","Bookings.Manage.All"
"Allows the app to have the same access to mailboxes as the signed-in user via Exchange ActiveSync.","Access mailboxes via Exchange ActiveSync","ff91d191-45a0-43fd-b837-bd682c4a0b0f","True","User","Allows the app full access to your mailboxes on your behalf.","Access your mailboxes","EAS.AccessAsUser.All"
"Allows the app to read and write financials data on behalf of the signed-in user.","Read and write financials data","f534bf13-55d4-45a9-8f3c-c92fe64d6131","True","User","Allows the app to read and write financials data on your behalf.","Read and write financials data","Financials.ReadWrite.All"
